,date,price,returns
1,2001-01-05,13867.6103515625,0.012781441418279043
4,2001-01-10,13432.650390625,-0.013153931603289119
5,2001-01-11,13201.0703125,-0.017390428999117198
6,2001-01-12,13347.740234375,0.011049189099525097
7,2001-01-15,13506.23046875,0.011803995497239438
8,2001-01-16,13584.4501953125,0.005774675424190377
9,2001-01-17,13667.6298828125,0.006104484176406246
10,2001-01-18,13873.919921875,0.014980558351232947
11,2001-01-19,13989.1201171875,0.008269079869038477
12,2001-01-22,14032.419921875,0.00309046819626231
13,2001-01-23,13984.66015625,-0.003409335430629301
14,2001-01-24,13893.580078125,-0.006534157207626704
15,2001-01-25,13803.3798828125,-0.0065133873413443216
16,2001-01-26,13696.0595703125,-0.007805312361932484
17,2001-01-29,13845.2802734375,0.01083623121764503
18,2001-01-30,13826.650390625,-0.001346482531584508
19,2001-01-31,13843.5498046875,0.0012214885360006852
20,2001-02-01,13779.5498046875,-0.004633811224912147
21,2001-02-02,13703.6298828125,-0.005524842165453894
22,2001-02-05,13385.51953125,-0.023487262032674337
23,2001-02-06,13269.849609375,-0.008678975506201732
24,2001-02-07,13366.009765625,0.007220384569781743
25,2001-02-08,13138.23046875,-0.017188563255290105
26,2001-02-09,13422.830078125,0.021430657951433795
29,2001-02-14,13284.0595703125,0.0007048051543094947
30,2001-02-15,13327.3896484375,0.0032565018207810804
31,2001-02-16,13175.490234375,-0.011462986515417068
32,2001-02-19,13119.58984375,-0.004251782057419197
33,2001-02-20,13248.3603515625,0.009767276605065673
34,2001-02-21,13100.080078125,-0.01125545470065422
35,2001-02-22,13073.3603515625,-0.002041744257239217
36,2001-02-23,13246.0,0.013119021297634759
37,2001-02-26,13201.1396484375,-0.0033924571944461052
38,2001-02-27,13059.8603515625,-0.010759731913174801
39,2001-02-28,12883.5400390625,-0.01359290028938386
40,2001-03-01,12681.66015625,-0.015793663077860457
41,2001-03-02,12261.7998046875,-0.03366814486190671
42,2001-03-05,12322.16015625,0.004910557367514662
43,2001-03-06,12687.740234375,0.029236911258280193
44,2001-03-07,12723.8896484375,0.002845109787442986
45,2001-03-08,12650.5595703125,-0.005779852136742109
46,2001-03-09,12627.900390625,-0.00179276631499065
47,2001-03-12,12171.3701171875,-0.036822200497588095
48,2001-03-13,11819.7001953125,-0.02931883472041652
49,2001-03-14,11843.58984375,0.0020191322943143727
50,2001-03-15,12152.830078125,0.02577529113989699
51,2001-03-16,12232.98046875,0.006573550556327648
52,2001-03-19,12190.9697265625,-0.003440130141346519
55,2001-03-22,12853.9697265625,-0.01926028936644527
56,2001-03-23,13214.5400390625,0.027665049707268064
57,2001-03-26,13862.3095703125,0.04785587406707469
58,2001-03-27,13638.330078125,-0.01628939891385428
59,2001-03-28,13765.509765625,0.009281954741937961
60,2001-03-29,13072.3603515625,-0.05166606696065205
61,2001-03-30,12999.7001953125,-0.005573809115122612
62,2001-04-02,12937.8603515625,-0.004768371398006007
63,2001-04-03,13124.4697265625,0.014320481977236487
64,2001-04-04,13242.7802734375,0.00897411302905542
65,2001-04-05,13381.3798828125,0.010411660732713785
66,2001-04-06,13383.759765625,0.000177834515345962
67,2001-04-09,12841.759765625,-0.04133967188447201
68,2001-04-10,12620.26953125,-0.017398127915138003
69,2001-04-11,13174.9296875,0.04301154324773711
70,2001-04-12,13352.4404296875,0.013383414260563218
71,2001-04-13,13385.7197265625,0.002489274794158707
72,2001-04-16,13254.8896484375,-0.009821932227626262
73,2001-04-17,13067.08984375,-0.014269670822969167
74,2001-04-18,13641.7900390625,0.043041034735024186
75,2001-04-19,13868.2802734375,0.016466359361829982
76,2001-04-20,13765.669921875,-0.00742643179372163
77,2001-04-23,13715.599609375,-0.0036439632345081413
78,2001-04-24,13743.1796875,0.00200883565154751
79,2001-04-25,13827.5,0.006116684561356771
80,2001-04-26,13973.0302734375,0.01046969977603953
81,2001-04-27,13934.3203125,-0.0027741784835142672
84,2001-05-02,14421.6396484375,-0.00026486631751997385
88,2001-05-08,14289.0498046875,-0.016681385861101235
89,2001-05-09,14084.849609375,-0.014393772096547366
90,2001-05-10,14017.7900390625,-0.004772483897156761
91,2001-05-11,14043.919921875,0.0018623163307504905
92,2001-05-14,13873.01953125,-0.012243643386068948
93,2001-05-15,14054.0302734375,0.012963293889295341
94,2001-05-16,13694.26953125,-0.02593174390839797
95,2001-05-17,13910.669921875,0.015678703006573872
96,2001-05-18,13877.76953125,-0.0023679203759053935
97,2001-05-21,14176.830078125,0.021320701751156815
98,2001-05-22,14091.1904296875,-0.006059137421531318
99,2001-05-23,14067.7001953125,-0.0016684066241627962
100,2001-05-24,13895.7900390625,-0.012295483902024297
101,2001-05-25,13765.919921875,-0.009389952508594417
102,2001-05-28,13737.76953125,-0.0020470272181414557
103,2001-05-29,13773.8896484375,0.002625805859629848
104,2001-05-30,13493.349609375,-0.020577802967330767
105,2001-05-31,13262.1396484375,-0.017283609679379135
106,2001-06-01,13261.83984375,-2.2606312721708744e-05
107,2001-06-04,13312.349609375,0.0038014199108196787
108,2001-06-05,13182.0,-0.009839883826947959
109,2001-06-06,13174.83984375,-0.0005433243490940341
110,2001-06-07,13277.509765625,0.00776267053450131
111,2001-06-08,13430.2197265625,0.01143576246121075
112,2001-06-11,13226.48046875,-0.0152864550911299
113,2001-06-12,12840.099609375,-0.029647860214806265
114,2001-06-13,12823.4501953125,-0.0012975146871766427
115,2001-06-14,12846.66015625,0.0018083262552773545
116,2001-06-15,12790.3798828125,-0.0043905508405799164
117,2001-06-18,12697.7900390625,-0.007265351048390941
