,date,price,returns
1,2001-01-03,1347.56005859375,0.04888407020840131
2,2001-01-04,1333.3399658203125,-0.010608546388114074
3,2001-01-05,1298.3499755859375,-0.02659283806587432
4,2001-01-08,1295.8599853515625,-0.0019196526391590284
5,2001-01-09,1300.800048828125,0.0038049412487950597
6,2001-01-10,1313.27001953125,0.00954072765251826
7,2001-01-11,1326.8199462890625,0.01026483635719767
8,2001-01-12,1318.550048828125,-0.006252376353325711
9,2001-01-16,1326.6500244140625,0.006124301133249056
10,2001-01-17,1329.469970703125,0.0021233583977827188
11,2001-01-18,1347.969970703125,0.013819390779688844
12,2001-01-19,1342.5400390625,-0.004036364104246305
13,2001-01-22,1342.9000244140625,0.0002681015738275837
14,2001-01-23,1360.4000244140625,0.012947319312044342
15,2001-01-24,1364.300048828125,0.002862720279423331
16,2001-01-25,1357.510009765625,-0.0049893659014614644
17,2001-01-26,1354.949951171875,-0.001887629230125118
18,2001-01-29,1364.1700439453125,0.0067817000552319595
19,2001-01-30,1373.72998046875,0.006983436422109727
20,2001-01-31,1366.010009765625,-0.0056355648072863385
21,2001-02-01,1373.469970703125,0.005446274059599507
22,2001-02-02,1349.469970703125,-0.01762846191144751
23,2001-02-05,1354.31005859375,0.003580241741748479
24,2001-02-06,1352.260009765625,-0.0015148687589011335
25,2001-02-07,1340.8900146484375,-0.00844369052364719
26,2001-02-08,1332.530029296875,-0.006254170660763812
27,2001-02-09,1314.760009765625,-0.01342526596679741
28,2001-02-12,1330.31005859375,0.011757894931235194
29,2001-02-13,1318.800048828125,-0.008689772585958535
30,2001-02-14,1315.9200439453125,-0.0021861950632109965
31,2001-02-15,1326.6099853515625,0.008090730929249642
32,2001-02-16,1301.530029296875,-0.019086287083199486
33,2001-02-20,1278.93994140625,-0.017508953990654743
34,2001-02-21,1255.27001953125,-0.018680859586076647
35,2001-02-22,1252.8199462890625,-0.0019537369511636415
36,2001-02-23,1245.8599853515625,-0.005570924750844155
37,2001-02-26,1267.6500244140625,0.017338769191571488
38,2001-02-27,1257.93994140625,-0.007689396127662075
39,2001-02-28,1239.93994140625,-0.014412471713944133
40,2001-03-01,1241.22998046875,0.0010398636283404812
41,2001-03-02,1234.1800537109375,-0.005695982258483536
42,2001-03-05,1241.4100341796875,0.005841032455202131
43,2001-03-06,1253.800048828125,0.009931120882614958
44,2001-03-07,1261.8900146484375,0.006431629893613799
45,2001-03-08,1264.739990234375,0.002255951040818529
46,2001-03-09,1233.4200439453125,-0.025075725323942803
47,2001-03-12,1180.1600341796875,-0.044140782944437726
48,2001-03-13,1197.6600341796875,0.014719630139540335
49,2001-03-14,1166.7099609375,-0.026181893093709756
50,2001-03-15,1173.56005859375,0.005854125517359441
51,2001-03-16,1150.530029296875,-0.019819182794657754
52,2001-03-19,1170.81005859375,0.017473135776606016
53,2001-03-20,1142.6199951171875,-0.024372000192958605
54,2001-03-21,1122.1400146484375,-0.0180862772659719
55,2001-03-22,1117.5799560546875,-0.004071995565797344
56,2001-03-23,1139.8299560546875,0.019713495936903382
57,2001-03-26,1152.68994140625,0.011219200545693092
58,2001-03-27,1182.1700439453125,0.025253479371825076
59,2001-03-28,1153.2900390625,-0.024733008530898916
60,2001-03-29,1147.949951171875,-0.004641060904985464
61,2001-03-30,1160.3299560546875,0.010726709139390915
62,2001-04-02,1145.8699951171875,-0.01254023999486656
63,2001-04-03,1106.4599609375,-0.03499847502245124
64,2001-04-04,1103.25,-0.002905325361392833
65,2001-04-05,1151.43994140625,0.04275291291739027
66,2001-04-06,1128.4300537109375,-0.020185948377773013
67,2001-04-09,1137.5899658203125,0.00808462583936063
68,2001-04-10,1168.3800048828125,0.026706218592037867
69,2001-04-11,1165.8900146484375,-0.0021334217189706364
70,2001-04-12,1183.5,0.014991393552336968
71,2001-04-16,1179.6800537109375,-0.003232889182608421
72,2001-04-17,1191.81005859375,0.010229948339488112
73,2001-04-18,1238.1600341796875,0.03815322509881213
74,2001-04-19,1253.68994140625,0.012464721753518131
75,2001-04-20,1242.97998046875,-0.00857944939981588
76,2001-04-23,1224.3599853515625,-0.015093460052377404
77,2001-04-24,1209.469970703125,-0.012236023629359138
78,2001-04-25,1228.75,0.01581516957968027
79,2001-04-26,1234.52001953125,0.004684853904600156
80,2001-04-27,1253.050048828125,0.014898371931206402
81,2001-04-30,1249.4599609375,-0.0028691916032248313
82,2001-05-01,1266.43994140625,0.013498341704493846
83,2001-05-02,1267.4300537109375,0.0007815020952043317
84,2001-05-03,1248.5799560546875,-0.014984400130627271
85,2001-05-04,1266.6099853515625,0.014337158275437674
86,2001-05-07,1263.510009765625,-0.0024504585894219535
87,2001-05-08,1261.199951171875,-0.0018299600937476525
88,2001-05-09,1255.5400390625,-0.004497819936253592
89,2001-05-10,1255.1800537109375,-0.0002867586514844116
90,2001-05-11,1245.6700439453125,-0.0076054583320409
91,2001-05-14,1248.9200439453125,0.0026056399843493476
92,2001-05-15,1249.43994140625,0.0004161909984873006
93,2001-05-16,1284.989990234375,0.028055524579750336
94,2001-05-17,1288.489990234375,0.002720053922715442
95,2001-05-18,1291.9599609375,0.0026894323550721746
96,2001-05-21,1312.8299560546875,0.01602466408472157
97,2001-05-22,1309.3800048828125,-0.002631332512547939
98,2001-05-23,1289.050048828125,-0.015648195622524032
99,2001-05-24,1293.1700439453125,0.0031910514714147153
100,2001-05-25,1277.8900146484375,-0.011886310588375483
101,2001-05-29,1267.9300537109375,-0.00782459992146223
102,2001-05-30,1248.0799560546875,-0.015779356558458756
103,2001-05-31,1255.8199462890625,0.0061823676577966655
